               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.036424,             0.01983,                   0,             0.86562,             0.92075,             0.94408,             0.62651,            0.021694,           0.0089355,                   0,           0.0075151,           0.0075151,           0.0075151
                 128,            0.034134,            0.018089,                   0,             0.84582,             0.92857,             0.94259,             0.59914,            0.022683,           0.0088031,                   0,           0.0074954,           0.0074954,           0.0074954
                 129,            0.039452,            0.016714,                   0,             0.84582,             0.92857,             0.94259,             0.59914,            0.022683,           0.0088031,                   0,           0.0074757,           0.0074757,           0.0074757
                 130,            0.033612,            0.021938,                   0,             0.92442,             0.87454,               0.935,             0.52122,            0.025865,           0.0089471,                   0,            0.007456,            0.007456,            0.007456
                 131,             0.03674,            0.022065,                   0,             0.92714,             0.91002,             0.93512,             0.61527,            0.020995,           0.0092251,                   0,           0.0074363,           0.0074363,           0.0074363
                 132,            0.044901,            0.024782,                   0,             0.92714,             0.91002,             0.93512,             0.61527,            0.020995,           0.0092251,                   0,           0.0074165,           0.0074165,           0.0074165
                 133,            0.035677,            0.022362,                   0,             0.92825,             0.92445,             0.94095,             0.52509,            0.023632,           0.0092142,                   0,           0.0073968,           0.0073968,           0.0073968
                 134,            0.032354,            0.017876,                   0,             0.83506,             0.92857,             0.94259,              0.5466,            0.025627,           0.0085597,                   0,           0.0073771,           0.0073771,           0.0073771
                 135,            0.032811,            0.022124,                   0,             0.83506,             0.92857,             0.94259,              0.5466,            0.025627,           0.0085597,                   0,           0.0073574,           0.0073574,           0.0073574
                 136,            0.028361,            0.018012,                   0,             0.92817,             0.92334,               0.959,             0.57704,            0.024396,           0.0084062,                   0,           0.0073376,           0.0073376,           0.0073376
                 137,            0.040624,             0.01452,                   0,             0.92817,             0.92334,               0.959,             0.57704,            0.024396,           0.0084062,                   0,           0.0073179,           0.0073179,           0.0073179
                 138,            0.040398,            0.021095,                   0,             0.85921,             0.92857,              0.9441,             0.59054,            0.023257,           0.0084212,                   0,           0.0072982,           0.0072982,           0.0072982
                 139,            0.033886,            0.017718,                   0,             0.92774,             0.91782,             0.95761,             0.60692,            0.019062,           0.0084076,                   0,           0.0072785,           0.0072785,           0.0072785
                 140,            0.029846,            0.020493,                   0,             0.92774,             0.91782,             0.95761,             0.60692,            0.019062,           0.0084076,                   0,           0.0072588,           0.0072588,           0.0072588
                 141,            0.033173,            0.020573,                   0,                   1,             0.87373,             0.96583,             0.65542,            0.019262,           0.0082004,                   0,            0.007239,            0.007239,            0.007239
                 142,            0.034526,            0.017557,                   0,             0.97825,             0.92857,               0.974,             0.63774,            0.020562,           0.0078483,                   0,           0.0072193,           0.0072193,           0.0072193
                 143,            0.044709,            0.023334,                   0,             0.97825,             0.92857,               0.974,             0.63774,            0.020562,           0.0078483,                   0,           0.0071996,           0.0071996,           0.0071996
                 144,            0.042782,            0.020411,                   0,             0.97629,             0.92857,             0.98625,             0.61677,            0.020129,           0.0077915,                   0,           0.0071799,           0.0071799,           0.0071799
                 145,            0.039304,            0.020516,                   0,             0.97629,             0.92857,             0.98625,             0.61677,            0.020129,           0.0077915,                   0,           0.0071602,           0.0071602,           0.0071602
                 146,             0.03721,            0.019736,                   0,             0.93156,             0.97347,             0.99033,             0.62795,            0.020321,           0.0077672,                   0,           0.0071404,           0.0071404,           0.0071404
                 147,            0.036331,            0.020276,                   0,             0.98351,             0.92857,             0.99033,             0.68861,            0.017959,           0.0076852,                   0,           0.0071207,           0.0071207,           0.0071207
                 148,            0.032256,            0.019254,                   0,             0.98351,             0.92857,             0.99033,             0.68861,            0.017959,           0.0076852,                   0,            0.007101,            0.007101,            0.007101
                 149,            0.031414,            0.021609,                   0,             0.88034,             0.92857,             0.98125,             0.70447,             0.01656,           0.0077968,                   0,           0.0070813,           0.0070813,           0.0070813
                 150,            0.037477,            0.026236,                   0,             0.97713,             0.85714,             0.96021,              0.5981,            0.017277,           0.0080373,                   0,           0.0070616,           0.0070616,           0.0070616
                 151,            0.032065,            0.021146,                   0,             0.97713,             0.85714,             0.96021,              0.5981,            0.017277,           0.0080373,                   0,           0.0070418,           0.0070418,           0.0070418
                 152,            0.029849,            0.018058,                   0,             0.85085,             0.92857,             0.94944,             0.60652,            0.017011,            0.008106,                   0,           0.0070221,           0.0070221,           0.0070221
                 153,            0.031291,            0.017436,                   0,             0.85085,             0.92857,             0.94944,             0.60652,            0.017011,            0.008106,                   0,           0.0070024,           0.0070024,           0.0070024
                 154,            0.026891,            0.014311,                   0,             0.86595,             0.92319,             0.94751,              0.6092,            0.017509,           0.0084395,                   0,           0.0069827,           0.0069827,           0.0069827
                 155,            0.036704,            0.018635,                   0,             0.86598,             0.92342,             0.94751,             0.57593,            0.018392,           0.0080142,                   0,           0.0069629,           0.0069629,           0.0069629
                 156,            0.027145,            0.016341,                   0,             0.86598,             0.92342,             0.94751,             0.57593,            0.018392,           0.0080142,                   0,           0.0069432,           0.0069432,           0.0069432
                 157,            0.035627,            0.019702,                   0,             0.86454,              0.9126,             0.94944,             0.63488,            0.018197,           0.0080762,                   0,           0.0069235,           0.0069235,           0.0069235
